Default Monster Data					Stats								Movement and Combat					Attack 1			Attack 2			    Spell Attack		    Spell Attack 2		Resistances										Misc
#	Name	Picture	LVL	 HP 	AC	 EXP 	Treasure	Blood	Fly	Move	AI Type	Hst	Spd	Rec	Pref	Bonus	Type	Damage	Miss	Att%	Type	Damage	Miss	Use%	"Spl,Mas,Skil"	Use%	"Spl,Mas,Skil"	Fire	Air	Water	Earth	Mind	Spirit	Body	Light	Dark	Phys	Special
9	Winged Serpent	Couatl (winged snake) C	2	9	0	450	15%2d5+L1GEM	0	N	Free	Aggress	3	275	60	0	Poison3x3	Phys	9D10+6	0	0	0	0	0	2	"Lightning Bolt,N,1"	0	0	0	0	5	0	0	0	0	0	0	5	0
10	Regnan Bandit	Pirate Warrior Male A	18	86	193	504	20%5D30+L2Sword	1	N	Long	Aggress	2	220	90	0	BrkItem	Phys	23D23+15	0	0	0	0	0	18	0	0	0	10	30	30	30	10	10	10	10	10	0	0
11	Regnan Pirate	Pirate Warrior Male B	31	189	198	1271	20%7D30+L3Sword	1	N	Long	Aggress	2	250	80	0	BrkArmor	Phys	34D34+8	0	0	0	0	0	31	0	0	0	10	30	30	30	10	10	10	10	10	0	0
12	Regnan Brigadier	Pirate Warrior Male C	50	400	200	3000	20%5D30+L4Sword	1	N	Long	Aggress	2	280	70	0	BrkWeapon	Phys	46D47+2	0	0	0	0	0	50	0	0	0	10	30	30	30	10	10	10	10	10	0	0
13	Regnan Crossbowman	Pirate Crossbowman (Female) A	18	86	189	504	15%5D30+L2Bow	1	N	Long	Aggress	3	160	100	0	BrkItem	Phys	18D19+10	0	35	Phys	12D2+6	ArrowF	18	0	0	0	30	30	30	10	10	10	10	10	10	0	0
14	Regnan Arbalester	Pirate Crossbowman (Female) B	31	189	193	1271	15%7D30+L3Bow	1	N	Long	Aggress	3	170	100	0	BrkArmor	Phys	29D30+14	0	45	Phys	16D2+7	ArrowF	31	0	0	0	30	30	30	10	10	10	10	10	10	0	0
15	Regnan Lieutenant	Pirate Crossbowman (Female) C	50	400	197	3000	15%5D30+L4Bow	1	N	Long	Aggress	3	180	90	0	BrkWeapon	Phys	41D42+26	0	55	Phys	22D2+8	ArrowF	50	0	0	0	30	30	30	10	10	10	10	10	10	0	0
16	Regnan Sorcerer	Pirate Mage Male A	25	137	193	875	20%5D30+L2Wand	1	N	Med	Aggress	3	60	90	0	DrainSP	Phys	30D30	Air	0	0	0	0	50	"Lightning Bolt,M,14"	0	0	20	Imm	40	40	40	20	40	20	20	0	0
17	Regnan Battlemage	Pirate Mage Male B	50	400	209	3000	20%7D30+L3Wand	1	N	Med	Aggress	3	80	80	0	DrainSP	Phys	52D53+16	Water	0	0	0	0	65	"Poison Spray,M,40"	0	0	40	40	Imm	20	40	20	40	20	20	0	0
18	Regnan Archmage	Pirate Mage Male C	75	787	229	9000	20%5D30+L4Wand	1	N	Short	Aggress	3	90	70	0	DrainSP	Phys	68D68+20	Fire	0	0	0	0	80	"Fireball,M,28"	0	"Dispel Magic,E,4"	Imm	40	20	40	40	20	40	20	20	0	0
19	Dark Elf Peasant	Dark Elf Pesant Male A	1	3	0	11	1d3	1	N	Long	Wimp	4	140	100	0	0	Phys	5D6+2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	Dark Elf Peasant	Dark Elf Pesant Male B	5	17	25	75	1d3	1	N	Long	Wimp	4	140	100	0	0	Phys	5D6+2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	Dark Elf Peasant	Dark Elf Pesant Male C	8	30	38	144	1d3	1	N	Long	Wimp	4	140	100	0	0	Phys	5D6+2	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	Dark Elf Peasant	Dark Elf Pesant Female A	1	3	0	11	1d3	1	N	Long	Wimp	4	140	100	0	0	Phys	5D6+2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	Dark Elf Peasant	Dark Elf Pesant Female B	5	17	25	75	1d3	1	N	Long	Wimp	4	140	100	0	0	Phys	5D6+2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	Dark Elf Peasant	Dark Elf Pesant Female C	8	30	38	144	1d3	1	N	Long	Wimp	4	140	100	0	0	Phys	5D6+2	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	Dark Elven Warrior	Dark Elf Warrior A	15	67	155	375	15%5D8+L2Sword	1	N	Long	Aggress	2	240	80	0	0	Phys	14D15	0	0	0	0	0	15	"Lightning Bolt,M,9"	0	0	5	5	5	5	5	5	5	0	0	0	0
26	Dark Elven Defender	Dark Elf Warrior B	27	153	196	999	15%5D8+L3Sword	1	N	Long	Aggress	2	260	70	0	0	Phys	24D24+12	0	0	0	0	0	27	"Poison Spray,M,7"	0	0	10	10	10	10	10	10	10	0	0	0	0
27	Dark Elven Crusader	Dark Elf Warrior C	39	269	204	1911	15%5D8+L4Sword	1	N	Med	Aggress	2	280	60	0	0	Phys	33D33+27	0	0	0	0	0	39	"Fireball,M,7"	0	0	15	15	15	15	15	15	15	0	0	0	0
28	Ogre Peasant	Ogre Pesant Male A	2	6	0	24	1	1	N	Long	Wimp	4	140	100	0	0	Phys	5D6+2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	10	0
29	Ogre Peasant	Ogre Pesant Male B	7	25	25	119	1	1	N	Long	Wimp	4	140	100	0	0	Phys	5D6+2	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	10	0
30	Ogre Peasant	Ogre Pesant Male C	11	45	38	231	1	1	N	Long	Wimp	4	140	100	0	0	Phys	6D7	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	10	0
31	Ogre Brawler	Ogre Warrior A	15	67	193	375	20%10d5+L1Club	1	N	Long	Suicidal	2	280	110	0	Brkweapon	Phys	13D13+1	0	0	0	0	0	15	0	0	0	30	10	30	30	10	10	30	10	10	10	0
32	Ogre Warrior	Ogre Warrior B	20	100	200	600	25%10d7+L2Club	1	N	Long	Suicidal	2	300	100	0	Brkweapon	Phys	15D16+12	0	0	0	0	0	20	0	0	0	30	10	30	30	10	10	30	10	10	15	0
33	Ogre Warleader	Ogre Warrior C	28	162	205	1064	35%10d9+L3Club	1	N	Med	Suicidal	2	310	90	0	Brkweapon	Phys	24D25+4	0	0	0	0	0	28	0	0	0	30	10	30	30	10	10	30	10	10	25	0
34	Animalist	Wererat Human Form Male A	10	40	51	200	4d8	1	N	Short	Aggress	2	250	120	0	Disease1	Phys	14D14+12	0	0	0	0	0	10	"Poison Spray,N,4"	0	0	5	5	5	5	5	5	5	0	0	0	0
35	Shapeshifter	Wererat Human Form Male B	13	55	77	299	15%5d8+L1Sword	1	N	Short	Aggress	2	270	110	0	Disease2	Phys	15D16+14	0	0	0	0	0	13	"Poison Spray,N,6"	0	0	10	10	10	10	10	10	10	0	0	0	0
36	Lycanthrope	Wererat Human Form Male C	17	79	103	459	25%6d8+L2Sword	1	N	Short	Aggress	2	290	100	0	Disease3	Phys	17D18+4	0	0	0	0	0	17	"Poison Spray,E,8"	0	0	15	15	15	15	15	15	15	0	0	0	0
37	Ratman	Wererat Ratman Form Male A	8	30	38	144	3d3	1	N	Short	Aggress	2	270	110	0	Disease1	Phys	13D13+7	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	Wererat	Wererat Ratman Form Male B	11	45	64	231	35%3d3+L1Ring	1	N	Short	Aggress	2	290	100	0	Disease2	Phys	14D14+6	0	0	0	0	0	11	0	0	0	5	5	5	5	5	5	5	0	0	0	0
39	Greater Wererat	Wererat Ratman Form Male C	15	67	90	375	45%3d3+L2Ring	1	N	Short	Suicidal	2	300	90	0	Disease3	Phys	16D16+2	0	0	0	0	0	15	0	0	0	10	10	10	10	10	10	10	0	0	0	0
40	Bestial Animalist	Wererat Rat Form Male A	13	55	90	299	4d6	1	N	Short	Aggress	2	300	80	0	Disease1	Phys	16D17+14	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	Bestial Shapeshifter	Wererat Rat Form Male B	17	79	116	459	20%5d6+L2	1	N	Short	Suicidal	2	315	80	0	Disease2	Phys	18D19	0	0	0	0	0	17	0	0	0	5	5	5	5	5	5	5	0	0	5	0
42	Bestial Lycanthrope	Wererat Rat Form Male C	21	107	142	651	20%6d6+L3	1	N	Short	Suicidal	2	325	70	0	Disease3	Phys	20D21+8	0	0	0	0	0	21	0	0	0	10	10	10	10	10	10	10	0	0	10	0
43	Dragon Hunter	Dragon Hunter A	15	67	218	375	35%5D20+L1Plate	1	N	Long	Suicidal	2	235	80	d	BrkArmor	Phys	19D19+9	0	0	0	0	0	15	0	0	0	30	30	10	30	30	10	10	10	10	5	0
44	Crusader	Dragon Hunter B	30	180	226	1400	40%7D20+L3Plate	1	N	Med	Suicidal	2	260	70	d	BrkArmor	Phys	30D30	0	0	0	0	0	30	0	0	0	30	30	10	30	30	10	10	10	10	10	0
45	Dragonslayer	Dragon Hunter C	45	337	232	3000	50%10D20+L4Plate	1	N	Short	Suicidal	2	285	50	d	BrkWeapon	Phys	41D41+19	0	0	0	0	0	45	0	0	0	30	30	10	30	30	10	10	10	10	15	0
46	Acolyte of the Sun	Cleric (human male) A	10	40	90	200	25%10D10+L1Staff	1	N	Med	Normal	3	160	90	n	0	Phys	19D20+4	Fire	0	0	0	0	10	"Light Bolt,E,4"	0	"Heal,E,5"	5	5	5	5	15	15	15	Imm	0	0	0
47	Cleric of the Sun	Cleric (human male) B	20	100	155	600	25%10D14+L2Staff	1	N	Med	Normal	3	180	90	n	0	Phys	27D28+16	Fire	0	0	0	0	20	0	0	"Heal,M,6"	10	10	10	10	25	25	25	Imm	0	0	0
48	Priest of the Sun	Cleric (human male) C	30	180	201	1200	25%10D16+L3Staff	1	N	Med	Aggress	3	200	80	n	0	Phys	30D31+18	Light	0	0	0	0	30	"Light Bolt,E,7"	0	"Heal,GM,7"	15	15	15	15	35	35	35	Imm	0	0	0
49	Peasant	Vampire Female Peasant A	4	13	0	56	1	1	N	Long	Wimp	4	140	100	0	0	Phys	5D6+2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50	Peasant	Vampire Female Peasant B	6	21	0	96	1	1	N	Long	Wimp	4	140	100	0	0	Phys	5D6+2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51	Peasant	Vampire Female Peasant C	10	40	0	200	1	1	N	Long	Wimp	4	140	100	0	0	Phys	5D6+2	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52	Vampire Minion	Vampire (monster) A	20	100	201	600	15%20D8+L2Boots	1	N	Med	Aggress	2	220	80	c	Disease2	Phys	18D18+8	0	0	0	0	0	20	"Mind Blast,E,8"	0	"Bless,E,4"	30	30	30	10	Imm	10	10	10	30	0	0
53	Vampire	Vampire (monster) B	28	162	209	1064	15%20D8+L2Gloves	1	N	Med	Aggress	2	240	70	c	DrainSP	Phys	27D28+8	0	0	0	0	0	28	"Harm,E,15"	0	"Heroism,E,4"	30	30	30	10	Imm	10	10	10	30	0	0
54	Greater Vampire	Vampire (monster) C	40	280	215	2000	15%20D8+L3Cloak	1	N	Short	Suicidal	2	260	60	c	DrainSP	Phys	36D37+24	0	0	0	0	0	40	"Spirit Lash,M,11"	0	"Heroism,M,7"	30	30	30	10	Imm	10	10	10	30	0	0
55	Dark Path Journeyman	Necromancer (monster) A	30	180	142	1200	15%20D8+L3Ring	1	N	Med	Aggress	3	200	90	0	Afraid	Dark	28D28+4	Dark	0	0	0	0	40	"Toxic Cloud,E,3"	0	0	20	40	40	40	Imm	20	40	20	Imm	0	0
56	Necromancer	Necromancer (monster) B	42	302	193	2184	15%20D8+L3Wand	1	N	Med	Aggress	3	220	80	0	Afraid	Dark	36D37+32	Dark	0	0	0	0	48	"Lightning Bolt,E,19"	0	0	20	40	40	40	Imm	20	40	20	Imm	0	0
57	Master Necromancer	Necromancer (monster) C	62	495	205	4500	15%20D8+L5Boots	1	N	Short	Aggress	3	240	70	0	Afraid	Dark	47D48+36	Dark	0	0	0	0	62	"Fireball,M,21"	0	"Pain Reflection,M,10"	20	40	40	40	Imm	20	40	20	Imm	0	0
58	Troll Clubman	Troll A	18	86	193	504	6D6	1	N	Med	Aggress	2	200	90	m	0	Phys	16D17	0	0	0	0	0	18	0	0	0	30	10	30	30	30	10	10	10	10	20	0
59	Troll Warrior	Troll B	28	162	204	1064	5%6D6+L2Club	1	N	Med	Aggress	2	220	80	m	0	Phys	26D27+6	0	0	0	0	0	28	0	0	0	30	10	30	30	30	10	10	10	10	30	0
60	Troll Chieftain	Troll C	38	258	211	1824	15%6D6+L3Club	1	N	Med	Suicidal	2	260	70	m	0	Phys	34D35+30	0	0	0	0	0	38	0	0	0	30	10	30	30	30	10	10	10	10	33	0
61	Troll Peasant	Troll Pesant A	4	13	0	56	1	1	N	Long	Wimp	4	140	100	0	0	Phys	5D6+2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	10	0
62	Troll Peasant	Troll Pesant B	6	21	0	96	1	1	N	Long	Wimp	4	140	100	0	0	Phys	5D6+2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	20	0
63	Troll Peasant	Troll Pesant C	10	40	0	200	1	1	N	Long	Wimp	4	140	100	0	0	Phys	5D6+2	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	30	0
64	Minotaur Guard	Minotaur A	39	269	205	1911	25%20D5+L3Axe	1	N	Long	Normal	2	250	80	0	0	Phys	36D36+12	0	0	0	0	0	39	"Bless,M,5"	0	0	40	40	20	40	40	20	40	20	20	5	0
65	Minotaur Warrior	Minotaur B	59	525	209	4071	25%20D5+L4Axe	1	N	Med	Aggress	2	260	70	0	0	Phys	48D48+12	0	0	0	0	0	59	"Heroism,M,7"	0	0	40	40	20	40	40	20	40	20	20	15	0
66	Minotaur Battleleader	Minotaur C	79	861	212	7031	25%20D5+L5Axe	1	N	Short	Suicidal	2	300	60	0	0	Phys	58D58+16	0	0	0	0	0	79	"Heroism,M,10"	0	0	40	40	20	40	40	20	40	20	20	25	0
67	Minotaur Peasant	Minotaur Pesant A	1	3	0	11	2D6	1	N	Short	Wimp	4	220	100	0	0	Phys	9D10+6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68	Minotaur Peasant	Minotaur Pesant B	3	9	0	39	3D6	1	N	Short	Wimp	4	250	90	0	0	Phys	10D11+2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69	Minotaur Peasant	Minotaur Pesant C	6	21	0	96	4D6	1	N	Short	Wimp	4	280	80	0	0	Phys	11D11+7	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70	Dragon	Dragon A	80	700	232	8000	250D10+L6	1	Y	Long	Suicidal	4	240	70	0	0	Fire	78D78	Fire	0	0	0	0	80	"Fire Bolt,E,65"	0	0	30	50	50	50	50	30	50	30	30	10	0
71	Dragon Flightleader	Dragon B	100	977	237	13000	300D10+L6	1	Y	Med	Suicidal	4	260	65	0	DrainSP	Water	99D99+27	Fire	0	0	0	0	100	"IceBolt,E,60"	0	0	50	30	50	50	50	30	50	30	30	20	0
72	Great Wyrm	Dragon C	130	1511	241	20000	400D10+L6	1	Y	Short	Suicidal	4	300	60	0	DrainSP	Air	121D121+99	Fire	0	0	0	0	130	"Dispel Magic,E,4"	0	"Lightning Bolt,M,29"	50	50	50	30	50	30	50	30	30	30	0
73	Lesser Fire Elemental	Fire Elemental A	50	400	212	4000	15%10D30+L4	0	Y	Long	Aggress	3	300	70	0	0	Fire	59D60	0	0	0	0	0	50	"Fireball,M,20"	0	0	Imm	50	30	50	50	30	30	30	30	10	0
74	Fire Elemental	Fire Elemental B	65	617	222	6000	15%10D40+L5	0	Y	Med	Aggress	3	310	70	0	0	Fire	78D79+58	0	0	0	0	0	65	"Haste,M,9"	0	0	Imm	50	30	50	50	30	30	30	30	20	0
75	Greater Fire Elemental	Fire Elemental C	100	880	232	9000	15%10D40+L6	0	Y	Med	Aggress	3	330	70	2	0	Fire	101D102+38	0	0	0	0	0	100	"Incinerate,GM,67"	0	"Dispel Magic,E,4"	Imm	50	30	50	50	30	30	30	30	30	0
76	Lesser Water Elemental	Water Elemental A	50	400	212	4000	10%10D30+L4	0	Y	Short	Aggress	3	250	70	0	0	Water	59D60	0	0	0	0	0	50	"IceBolt,E,28"	0	0	30	50	Imm	50	50	30	30	30	30	10	0
77	Water Elemental	Water Elemental B	65	617	222	6000	10%10D40+L5	0	Y	Short	Aggress	3	270	70	0	0	Water	78D79+58	0	0	0	0	0	65	"Acid Burst,M,42"	0	0	30	50	Imm	50	50	30	30	30	30	20	0
78	Greater Water Elemental	Water Elemental C	100	880	232	9000	10%10D40+L6	0	Y	Short	Aggress	3	290	70	2	0	Water	101D102+38	0	0	0	0	0	100	"IceBlast,GM,65"	0	"Dispel Magic,E,4"	30	50	Imm	50	50	30	30	30	30	30	0
79	Lesser Earth Elemental	Earth Elemental A	50	400	218	4000	20%10D30+L4Ore	0	N	Long	Aggress	3	110	70	0	0	Phys	44D45+40	0	0	0	0	0	50	"Blades,M,49"	0	0	50	30	50	Imm	50	30	30	30	30	10	0
80	Earth Elemental	Earth Elemental B	65	617	228	6000	20%10D40+L5Ore	0	N	Long	Aggress	3	130	70	0	0	Phys	53D53+51	0	0	0	0	0	65	0	0	0	50	30	50	Imm	50	30	30	30	30	20	0
81	Greater Earth Elemental	Earth Elemental C	100	880	235	9000	15%10D40+L6Ore	0	N	Med	Aggress	3	200	70	2	0	Phys	67D67+11	0	0	0	0	0	100	0	0	"Dispel Magic,E,4"	50	30	50	Imm	50	30	30	30	30	30	0
82	Lesser Air Elemental	Air Elemental A	50	400	212	4000	10%10D30+L4	0	Y	Long	Aggress	3	300	70	0	0	Air	68D68+36	0	0	0	0	0	75	"Sparks,M,30"	0	0	50	Imm	50	30	50	30	30	30	30	10	0
83	Air Elemental	Air Elemental B	65	617	222	6000	10%10D40+L5	0	Y	Long	Aggress	3	300	70	0	0	Air	91D92+8	0	0	0	0	0	90	"Lightning Bolt,M,23"	0	0	50	Imm	50	40	50	30	30	30	30	20	0
84	Greater Air Elemental	Air Elemental C	100	880	232	9000	10%10D40+L6	0	Y	Med	Aggress	3	310	70	2	0	Air	117D118+54	0	0	0	0	0	120	0	0	"Dispel Magic,E,4"	50	Imm	50	30	50	30	30	30	30	30	0
85	Dire Wolf Yearling	Dire Wolf A	9	35	64	171	15%L1Ring	1	N	Long	Suicidal	2	275	100	0	0	Phys	12D13+4	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86	Dire Wolf	Dire Wolf B	14	61	103	336	20%L1Ring	1	N	Med	Suicidal	2	295	90	0	0	Phys	14D15+6	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	5	0
87	Pack Leader	Dire Wolf C	19	93	142	551	25%L2Ring	1	N	Med	Suicidal	2	315	80	0	Curse	Phys	17D17+9	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	10	0
88	Young Basilisk	Thunder Lizard A	20	100	116	600	5D5	1	N	Long	Normal	2	220	100	0	Paralyze	Phys	28D28+20	0	0	0	0	0	20	0	0	0	30	30	30	10	30	10	30	10	10	5	0
89	Basilisk	Thunder Lizard B	27	153	142	999	7D5	1	N	Med	Normal	2	240	90	0	Stone	Phys	36D37+16	0	0	0	0	0	27	0	0	0	30	30	30	10	30	10	30	10	10	10	0
90	Elder Basilisk	Thunder Lizard C	38	258	168	1824	10D5	1	N	Med	Aggress	2	260	80	0	Stone	Phys	45D45+27	0	0	0	0	0	38	0	0	0	30	30	30	10	30	10	30	10	10	15	0
91	Cyclops	Cyclops A	24	129	194	816	15D10	1	N	Long	Normal	2	270	110	t	Paralyze	Phys	27D27+3	0	0	0	0	0	24	0	0	0	30	30	10	30	10	10	10	10	10	5	0
92	Cyclops Hunter	Cyclops B	36	237	198	1656	20D10	1	N	Med	Aggress	2	280	80	t	Paralyze	Phys	37D38+30	0	0	0	0	0	36	0	0	0	30	30	10	30	10	10	10	10	10	10	0
93	Cyclops Warrior	Cyclops C	48	374	201	2784	25D10	1	N	Short	Aggress	2	300	65	t	Paralyze	Phys	47D48+4	0	0	0	0	0	48	0	0	0	30	30	30	30	10	10	10	10	10	15	0
94	Serpentman	Serpentmen A	5	17	10	75	5d5	1	N	Med	Aggress	2	220	100	0	Poison3	Phys	9D10+6	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
95	Serpentman Elder	Serpentmen B	7	25	20	119	10%5d5+L1Ring	1	N	Med	Aggress	2	250	90	0	Poison3	Phys	12D13+4	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
96	Serpentman Warrior	Serpentmen C	11	45	30	231	10%5d5+L2Ring	1	N	Short	Suicidal	2	280	80	0	Poison3	Phys	15D15+9	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
97	Dancing Light	Will ' O Wisp A	15	67	103	375	25%10D15+L2Gem	0	Y	Free	Normal	4	240	80	0	0	Light	19D19+9	Light	0	0	0	0	15	0	0	0	5	0	0	0	0	0	0	Imm	0	0	0
98	Wisp 	Will ' O Wisp B	23	88	116	700	25%10D15+L3Gem	0	Y	Free	Normal	4	260	80	0	0	Light	28D28+12	Light	0	0	0	0	23	0	0	0	10	5	0	5	0	0	0	Imm	0	0	0
99	Will O' Wisp	Will ' O Wisp C	38	129	129	1100	25%10D15+L4Gem	0	Y	Free	Normal	4	280	80	0	0	Light	39D39+3	Light	0	0	0	0	38	0	0	0	15	10	5	10	5	5	5	Imm	0	0	0
100	Centaur	Centaur A	11	45	77	231	35%5d6+L1Bow	1	N	Med	Aggress	3	275	100	x	0	Phys	8D9+2	ArrowF	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	15	0
101	Centaur Warrior	Centaur B	14	61	103	336	25%5d8+L2Bow	1	N	Med	Aggress	3	285	90	x	0	Phys	10D12	ArrowF	0	0	0	0	14	"Shield,E,4"	0	0	0	0	0	0	0	0	0	0	0	20	0
102	Centaur Warlord	Centaur C	18	86	142	504	35%5d10+L3Bow	1	N	Short	Aggress	3	295	90	x	0	Phys	13D13+7	ArrowF	0	0	0	0	18	"Shield,M,7"	0	0	0	0	0	0	0	0	0	0	0	25	0
103	Efreeti Soldier	Efreeti A	55	337	218	3000	50%10D20+L4Sword	0	N	Med	Suicidal	2	300	70	0	0	Fire	57D58+50	0	0	0	0	0	55	"Fireball,M,15"	0	0	Imm	40	20	40	20	20	20	20	40	20	0
104	Efreeti Knight	Efreeti B	65	467	222	5000	50%10D20+L4Sword	0	N	Med	Suicidal	2	310	70	0	0	Fire	68D69+24	0	0	0	0	0	65	"Fireball,M,21"	0	0	Imm	40	20	40	30	20	20	20	40	30	0
105	Efreeti Lord	Efreeti C	75	711	226	8500	50%10D20+L5Sword	0	N	Med	Suicidal	2	330	70	2	DrainSP	Fire	78D78+56	0	0	0	0	0	75	"Fireball,M,25"	0	"Day of Protection,M,4"	Imm	40	20	40	40	20	20	20	40	33	0
106	Ogre Mage Apprentice	Ogre Mage A	20	100	142	600	25%10D4+L2Scroll	1	N	Med	Suicidal	3	200	100	0	0	Phys	16D16+4	0	30	Fire	15D4	Fire	20	"Fire Bolt,E,18"	0	0	30	30	10	30	30	10	30	10	10	0	0
107	Ogre Mage 	Ogre Mage B	28	162	193	1064	30%10D6+L3Scroll	1	N	Med	Suicidal	3	220	90	0	Curse	Phys	25D26+10	0	30	Water	25D4	Water	28	"Poison Spray,E,28"	0	0	30	30	30	10	30	10	30	10	10	0	0
108	Ogre Magi	Ogre Mage C	35	227	205	1575	35%10D10+L7Scroll	1	N	Short	Suicidal	3	240	80	0	Curse	Phys	32D32+28	0	30	Air	40D4	Air	35	"Lightning Bolt,M,16"	0	0	10	30	30	30	30	10	30	10	10	0	0
109	Unicorn Foal	Unicorn A	25	137	196	875	45%20D5+L1Ring	1	N	Med	Aggress	3	140	70	0	0	Water	34D34+8	Water	0	0	0	0	25	0	0	0	30	30	30	10	30	10	30	30	10	10	0
110	Unicorn	Unicorn B	35	227	205	1575	45%20D5+L2Amulet	1	N	Med	Aggress	3	160	60	0	0	Fire	45D46+22	Fire	0	0	0	0	35	0	0	0	30	30	10	30	30	10	30	30	10	20	0
111	Unicorn Herd Leader	Unicorn C	45	337	212	2475	45%20D5+L3Gem	1	N	Short	Aggress	3	180	50	0	0	Air	55D56+36	Air	0	0	0	0	45	0	0	0	10	30	30	30	30	10	30	30	10	30	"shot,x3"
112	Emerald Dragon	Crystal Dragon A	80	787	232	9000	250D10+L6	0	N	Long	Aggress	4	240	70	2	0	Ener	62D63+2	Ener	50	Ener	22D8	Ener	80	"Acid Burst,M,27"	0	0	50	30	50	50	50	30	50	50	50	20	0
113	Sapphire Dragon	Crystal Dragon B	120	1300	237	15000	300D10+L6	0	N	Med	Aggress	4	260	65	2	DrainSP	Ener	80D80+4	Ener	50	Ener	36D8	Ener	120	"Dispel Magic,E,4"	0	"Acid Burst,M,38"	50	30	50	50	50	30	50	50	50	30	0
