	Archer	WarriorMage	BattleMage	BattleMage3	MasterArcher	MasterArcher3	Sniper	Sniper3	Cleric	Priest	AcolyteLight	ClericLight	AcolyteDark	ClericDark	HighPriest	HighPriest3	PriestLight	PriestLight3	PriestDark	PriestDark	Deerslayer	Pioneer	Pathfinder	Pathfinder3	PathfinderLight	PathfinderLight3	PathfinderDark	PathfinderDark3	Dragon	FlightLeader	GreatWyrm	GreatWyrm3	DragonLight2	DragonLight3	DragonDark2	DragonDark3	Druid	GreatDruid	MasterDruid	MasterDruid3	ArchDruid	ArchDruid3	Warlock	Warlock3	Knight	Cavalier	Champion	Champion3	Templar	Templar3	BlackKnight	BlackKnight3	Minotaur	MinotaurHeadsman	MinotaurLord	MinotaurLord3	MinotaurLight2	MinotaurLight3	MinotaurDark2	MinotaurDark3	Monk	InitiateMonk	Monk2	Monk3	MasterMonk	MasterMonk3	Ninja	Ninja3	Paladin	Crusader	Paladin2	Paladin3	Hero	Hero3	Villain	Villain3	Ranger	Hunter	Ranger2	Ranger3	RangerLord	RangerLord3	BountyHunter	BountyHunter3	Thief	Rogue	Robber	Robber3	Spy	Spy3	Assassin	Assassin3	Barbarian	Berserker	Warmonger	Barbarian3	BarbarianLight2	BarbarianLight3	BarbarianDark2	BarbarianDark3	Vampire	ElderVampire	Nosferatu	Nosferatu3	NosferatuLight	NosferatuLight3	NosferatuDark	NosferatuDark3	Sorcerer	Wizard	ApprenticeMage	Mage	DarkAdept	Necromancer	MasterWizard	MasterWizard3	ArchMage	ArchMage3	Lich	Lich3	Peasant	n/u
Perception	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G
Regeneration	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	G	-
DisarmTraps	M	M	M	M	M	M	M	M	-	-	-	-	-	-	-	-	-	-	-	-	M	M	M	M	M	M	M	M	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	B	B	B	B	B	B	B	B	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	-	-	-	-	-	-	-	-	M	M	M	M	M	M	M	M	G	G	G	G	G	G	G	G	B	B	B	B	B	B	B	B	E	E	E	E	E	E	E	E	B	B	B	B	B	B	B	B	B	B	B	B	G	-
Dodging	E	E	E	E	E	E	E	E	-	-	-	-	-	-	-	-	-	-	-	-	E	E	E	E	E	E	E	E	G	G	G	G	G	G	G	G	-	-	-	-	-	-	-	-	E	E	E	E	E	E	E	E	-	-	-	-	-	-	-	-	G	G	G	G	G	G	G	G	B	B	B	B	B	B	B	B	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	G	G	G	G	G	G	G	G	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	G	-
Unarmed	B	B	B	B	B	B	B	B	-	-	-	-	-	-	-	-	-	-	-	-	B	B	B	B	B	B	B	B	E	E	E	E	E	E	E	E	-	-	-	-	-	-	-	-	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	G	G	G	G	G	G	G	G	B	B	B	B	B	B	B	B	M	M	M	M	M	M	M	M	M	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	B	B	B	B	B	B	B	B	-	-	-	-	-	-	-	-	-	-	-	-	G	-
IdentifyMonster	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G
Armsmaster	E	E	E	E	E	E	E	E	B	B	B	B	B	B	B	B	B	B	B	B	E	E	E	E	E	E	E	E	-	-	-	-	-	-	-	-	B	B	B	B	B	B	B	B	G	G	G	G	G	G	G	G	-	-	-	-	-	-	-	-	B	B	B	B	B	B	B	B	E	E	E	E	E	E	E	E	E	M	M	M	M	M	M	M	G	G	G	G	G	G	G	G	B	B	B	B	B	B	B	B	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	G	-
Stealing	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	E	M	G	G	G	G	G	G	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	E	M	G	G	G	G	G	G	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	E	M	G	G	G	G	G	G	G	G	G	G	G	-
Alchemy	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	M	M	M	M	M	M	M	M	G	G	G	G	G	G	G	G	-	-	-	-	-	-	-	-	B	B	B	B	B	B	B	B	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	-	-	-	-	-	-	-	-	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	-
Learning	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	G	-
