Spell	SpellPointsNormal	SpellPointsExpert	SpellPointsMaster	SpellPointsGM	DelayNormal	DelayExpert	DelayMaster	DelayGM	DamageAdd	DamageDiceSides
Enslave	100	100	100	100	160	160	160	160	0	0
Cure Weakness	1	1	1	1	10	10	10	10	0	0
Heal	20	20	20	20	50	50	50	50	0	0
Body Resistance	3	3	3	3	200	200	200	200	0	0
Harm	100	100	100	100	200	200	200	200	8	4
Regeneration	175	175	175	175	180	180	180	180	0	0
Cure Poison	10	10	10	10	120	120	120	120	0	0
Hammerhands	200	200	200	200	160	160	160	160	0	0
Cure Disease	20	20	15	15	120	120	120	120	0	0
Protection from Magic	125	125	125	125	200	200	200	200	0	0
Flying Fist	40	40	40	40	100	90	85	80	30	10
Power Cure	150	150	150	150	100	100	100	100	0	0
Light Bolt	30	30	30	30	100	100	90	80	0	8
Destroy Undead	40	40	40	40	100	100	90	80	18	18
Dispel Magic	100	100	100	100	120	110	100	90	0	0
Paralyze	300	300	300	300	1100	1000	900	800	0	0
Summon Wisp	400	400	400	400	250	250	250	250	0	0
Day of the Gods	450	450	450	450	0	0	0	0	0	0
Prismatic Light	175	175	175	175	200	200	200	180	25	1
Day of Protection	425	425	425	425	0	0	0	0	0	0
Hour of Power	125	125	125	125	0	0	0	0	0	0
Sunray	150	150	150	150	100	90	85	80	20	20
Divine Intervention	550	550	550	550	300	300	300	300	0	0
Reanimate	400	400	400	400	500	500	500	500	0	0
Toxic Cloud	35	35	35	35	100	90	85	80	25	10
Vampiric Weapon	20	10	0	0	0	0	0	0	0	0
Shrinking Ray	450	450	450	450	500	500	500	500	0	0
Shrapmetal	150	150	150	150	100	90	85	80	0	6
Control Undead	100	100	100	100	1000	1000	750	500	0	0
Pain Reflection	240	240	240	240	300	300	300	300	0	0
Dark Grasp	300	300	300	300	600	600	550	550	0	0
Dragon Breath	250	250	250	250	100	90	95	80	0	25
Armageddon	999	999	999	999	999	999	999	999	50	1
Souldrinker	325	325	325	275	150	150	135	135	25	10
Glamour	5	5	5	5	0	0	0	0	0	0
Travelers' Boon	10	10	10	10	0	0	0	0	0	0
Blind	125	125	125	125	300	300	300	300	0	0
Darkfire Bolt	240	240	240	240	120	110	105	100	0	30
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Lifedrain	500	500	500	500	100	100	100	100	0	0
Levitate	10	10	10	10	0	0	0	0	0	0
Charm	400	400	400	400	800	800	800	800	0	0
Mistform	300	300	300	300	300	300	300	300	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Fear	500	500	500	500	1000	1000	1000	1000	0	0
Flame Blast	100	100	100	100	100	95	90	80	0	0
Flight	15	15	15	15	0	0	0	0	0	0
Wing Buffet	30	30	30	30	120	120	120	120	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
Unused!!!	0	0	0	0	0	0	0	0	0	0
