Default Monster Data					Stats								Movement and Combat					Attack 1			Attack 2			    Spell Attack		    Spell Attack 2		Resistances										Misc
#	Name	Picture	LVL	 HP 	AC	 EXP 	Treasure	Blood	Fly	Move	AI Type	Hst	Spd	Rec	Pref	Bonus	Type	Damage	Miss	Att%	Type	Damage	Miss	Use%	"Spl,Mas,Skil"	Use%	"Spl,Mas,Skil"	Fire	Air	Water	Earth	Mind	Spirit	Body	Light	Dark	Phys	Special
9	Winged Serpent	Couatl (winged snake) C	1	6	10	201	15%2d5+L1GEM	0	N	Free	Aggress	3	275	60	0	Poison2x6	Phys	6D6+4	0	10	Air	6D6+4	Air	1	0	0	0	0	20	37	20	20	20	20	20	20	10	0
10	Regnan Bandit	Pirate Warrior Male A	50	521	210	1095	20%5D30+L2Sword	1	N	Long	Aggress	2	220	80	0	0	Phys	44D45+39	0	0	0	0	0	50	0	0	0	49	102	102	102	49	69	102	49	49	0	0
11	Regnan Pirate	Pirate Warrior Male B	65	593	225	1533	20%7D30+L3Sword	1	N	Long	Aggress	2	250	70	0	0	Phys	51D51+24	0	0	0	0	0	65	0	0	0	59	122	122	122	59	79	122	59	59	0	0
12	Regnan Brigadier	Pirate Warrior Male C	84	677	240	2146	20%5D30+L4Sword	1	N	Long	Aggress	2	280	60	0	0	Phys	58D58+28	0	0	0	0	0	84	0	0	0	73	139	139	139	73	93	139	73	73	0	0
13	Regnan Crossbowman	Pirate Crossbowman (Female) A	50	521	197	1095	15%5D30+L2Bow	1	N	Long	Aggress	3	160	80	0	0	Phys	44D45+39	Arrow	35	Fire	44D90+39	ArrowF	50	0	0	0	102	102	49	102	49	69	102	49	49	0	0
14	Regnan Arbalester	Pirate Crossbowman (Female) B	65	593	212	1533	15%7D30+L3Bow	1	N	Long	Aggress	3	170	70	0	0	Phys	51D51+24	Arrow	45	Fire	51D102+24	ArrowF	65	0	0	0	122	122	59	122	59	79	122	59	59	0	0
15	Regnan Lieutenant	Pirate Crossbowman (Female) C	84	677	227	2146	15%5D30+L4Bow	1	N	Long	Aggress	3	180	60	0	0	Phys	58D58+28	Arrow	55	Fire	58D116+28	ArrowF	84	0	0	0	139	139	73	139	73	93	139	73	73	0	0
16	Regnan Sorcerer	Pirate Mage Male A	50	521	186	2952	20%5D30+L2Wand	1	N	Med	Aggress	3	60	60	0	DrainSPx5	Air	44D45+39	Air	0	0	0	0	50	"Lightning Bolt,M,14"	0	0	133	Imm	133	63	63	83	133	63	63	0	0
17	Regnan Battlemage	Pirate Mage Male B	65	593	201	4132	20%7D30+L3Wand	1	N	Med	Aggress	3	80	50	0	DrainSPx10	Water	51D51+24	Water	0	0	0	0	65	"Poison Spray,M,40"	0	0	92	145	Imm	145	75	95	145	75	75	0	0
18	Regnan Archmage	Pirate Mage Male C	84	677	216	5784	20%5D30+L4Wand	1	N	Short	Aggress	3	90	40	0	DrainSPx15	Fire	58D58+28	Fire	0	0	0	0	84	"Fireball,M,28"	0	0	Imm	157	122	157	87	107	157	87	87	0	0
19	Dark Elf Peasant	Dark Elf Pesant Male A	3	15	0	52	1d3	1	N	Long	Wimp	4	140	100	0	0	Phys	11D11	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	Dark Elf Peasant	Dark Elf Pesant Male B	3	17	0	72	1d3	1	N	Long	Wimp	4	140	100	0	0	Phys	11D11	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	Dark Elf Peasant	Dark Elf Pesant Male C	5	19	0	100	1d3	1	N	Long	Wimp	4	140	100	0	0	Phys	14D14+5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	Dark Elf Peasant	Dark Elf Pesant Female A	3	15	0	52	1d3	1	N	Long	Wimp	4	140	100	0	0	Phys	11D11	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	Dark Elf Peasant	Dark Elf Pesant Female B	3	17	0	72	1d3	1	N	Long	Wimp	4	140	100	0	0	Phys	11D11	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	Dark Elf Peasant	Dark Elf Pesant Female C	5	19	0	100	1d3	1	N	Long	Wimp	4	140	100	0	0	Phys	14D14+5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	Dark Elven Warrior	Dark Elf Warrior A	22	147	185	753	15%5D8+L2Sword	1	N	Long	Aggress	2	240	80	0	0	Phys	29D30+18	0	0	0	0	0	22	"Lightning Bolt,M,9"	0	0	27	27	27	27	9	27	27	0	0	0	0
26	Dark Elven Defender	Dark Elf Warrior B	28	167	200	1054	15%5D8+L3Sword	1	N	Long	Aggress	2	260	70	0	0	Phys	33D34+8	0	0	0	0	0	28	"Poison Spray,M,7"	0	0	44	44	44	44	17	44	44	0	0	0	0
27	Dark Elven Crusader	Dark Elf Warrior C	37	191	215	1475	15%5D8+L4Sword	1	N	Med	Aggress	2	280	60	0	0	Phys	38D39+12	0	0	0	0	0	37	"Fireball,M,7"	0	0	62	62	62	62	22	62	62	0	0	0	0
28	Ogre Peasant	Ogre Pesant Male A	5	22	0	85	1	1	N	Long	Wimp	4	140	100	0	0	Phys	14D14+5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	Ogre Peasant	Ogre Pesant Male B	6	25	0	118	1	1	N	Long	Wimp	4	140	100	0	0	Phys	15D16+2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	Ogre Peasant	Ogre Pesant Male C	8	28	0	165	1	1	N	Long	Wimp	4	140	100	0	0	Phys	17D19	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	Ogre Brawler	Ogre Warrior A	17	99	189	467	20%10d5+L1Club	1	N	Long	Suicidal	2	280	110	0	0	Phys	26D26+10	0	0	0	0	0	17	0	0	0	95	25	95	95	95	25	95	25	25	0	0
32	Ogre Warrior	Ogre Warrior B	22	112	204	653	25%10d7+L2Club	1	N	Long	Suicidal	2	300	100	0	0	Phys	29D30+18	0	0	0	0	0	22	0	0	0	110	40	110	110	110	40	110	40	40	0	0
33	Ogre Warleader	Ogre Warrior C	28	128	219	914	35%10d9+L3Club	1	N	Med	Suicidal	2	310	90	0	0	Phys	33D34+8	0	0	0	0	0	28	0	0	0	125	55	125	125	125	55	125	55	55	0	0
34	Animalist	Wererat Human Form Male A	10	52	104	219	4d8	1	N	Short	Aggress	2	250	120	0	Disease1x3	Phys	20D20+3	0	0	0	0	0	10	"Poison Spray,N,4"	0	0	17	17	17	17	17	17	17	0	0	0	0
35	Shapeshifter	Wererat Human Form Male B	13	59	119	306	15%5d8+L1Sword	1	N	Short	Aggress	2	270	110	0	Disease2x3	Phys	22D23+19	0	0	0	0	0	13	"Poison Spray,N,6"	0	0	33	33	33	33	33	33	33	0	0	0	0
36	Lycanthrope	Wererat Human Form Male C	16	67	134	428	25%6d8+L2Sword	1	N	Short	Aggress	2	290	100	0	Disease3x3	Phys	25D25+21	0	0	0	0	0	16	"Poison Spray,E,8"	0	0	49	49	49	49	49	49	49	0	0	0	0
37	Ratman	Wererat Ratman Form Male A	9	42	72	172	3d3	1	N	Short	Aggress	2	270	110	0	Disease1x3	Phys	19D19+2	0	0	0	0	0	9	0	0	0	17	17	17	17	17	17	17	0	0	0	0
38	Wererat	Wererat Ratman Form Male B	11	47	87	240	35%3d3+L1Ring	1	N	Short	Aggress	2	290	100	0	Disease2x3	Phys	21D21+3	0	0	0	0	0	11	0	0	0	33	33	33	33	33	33	33	0	0	0	0
39	Greater Wererat	Wererat Ratman Form Male C	15	54	102	336	45%3d3+L2Ring	1	N	Short	Suicidal	2	300	90	0	Disease3x3	Phys	24D25+5	0	0	0	0	0	15	0	0	0	49	49	49	49	49	49	49	0	0	0	0
40	Bestial Animalist	Wererat Rat Form Male A	14	72	112	323	4d6	1	N	Short	Aggress	2	300	80	0	Disease1x3	Phys	23D24+13	0	0	0	0	0	14	0	0	0	17	17	17	17	17	17	17	0	0	0	0
41	Bestial Shapeshifter	Wererat Rat Form Male B	18	82	127	452	20%5d6+L2	1	N	Short	Suicidal	2	315	80	0	Disease2x3	Phys	26D27+24	0	0	0	0	0	18	0	0	0	33	33	33	33	33	33	33	0	0	0	0
42	Bestial Lycanthrope	Wererat Rat Form Male C	23	93	142	632	20%6d6+L3	1	N	Short	Suicidal	2	325	70	0	Disease3x3	Phys	30D30+28	0	0	0	0	0	23	0	0	0	49	49	49	49	49	49	49	0	0	0	0
43	Dragon Hunter	Dragon Hunter A	24	176	215	1095	35%5D20+L1Plate	1	N	Long	Suicidal	2	235	80	d	0	Phys	31D31+8	0	0	0	0	0	24	0	0	0	95	95	25	95	10	45	95	25	25	0	0
44	Crusader	Dragon Hunter B	31	200	230	1533	40%7D20+L3Plate	1	N	Med	Suicidal	2	260	70	d	0	Phys	35D35+26	0	0	0	0	0	31	0	0	0	110	110	40	110	25	60	110	40	40	0	0
45	Dragonslayer	Dragon Hunter C	40	228	245	2146	50%10D20+L4Plate	1	N	Short	Suicidal	2	285	50	d	0	Phys	40D40+15	0	0	0	0	0	40	0	0	0	125	125	55	125	40	75	125	55	55	0	0
46	Acolyte of the Sun	Cleric (human male) A	32	259	172	458	25%10D10+L1Staff	1	N	Med	Normal	3	160	90	n	0	Fire	35D36+32	Fire	0	0	0	0	32	"Light Bolt,E,4"	0	"Heal,E,5"	87	87	87	87	47	67	87	Imm	0	0	0
47	Cleric of the Sun	Cleric (human male) B	41	295	187	641	25%10D14+L2Staff	1	N	Med	Normal	3	180	80	n	0	Fire	40D41+15	Fire	0	0	0	0	41	0	0	"Heal,M,6"	103	103	103	103	63	83	103	Imm	0	0	0
48	Priest of the Sun	Cleric (human male) C	54	336	202	897	25%10D16+L3Staff	1	N	Med	Aggress	3	200	70	n	0	Light	46D47+18	Light	0	0	0	0	54	"Light Bolt,E,7"	0	"Heal,GM,7"	118	118	118	118	63	83	118	Imm	0	0	0
49	Peasant	Vampire Female Peasant A	5	22	0	80	1	1	N	Long	Wimp	4	140	100	0	0	Phys	14D14+5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50	Peasant	Vampire Female Peasant B	6	25	0	112	1	1	N	Long	Wimp	4	140	100	0	0	Phys	15D16+2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51	Peasant	Vampire Female Peasant C	8	28	0	156	1	1	N	Long	Wimp	4	140	100	0	0	Phys	17D19	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52	Vampire Minion	Vampire (monster) A	24	163	198	840	15%20D8+L2Boots	1	N	Med	Aggress	2	220	80	c	Disease2x4	Phys	31D31+8	0	0	0	0	0	24	"Mind Blast,E,8"	0	"Bless,E,4"	95	95	95	25	Imm	25	95	25	95	0	0
53	Vampire	Vampire (monster) B	31	185	213	1176	15%20D8+L2Gloves	1	N	Med	Aggress	2	240	70	c	DrainSPx2	Phys	35D35+26	0	0	0	0	0	31	"Harm,E,15"	0	"Heroism,E,4"	110	110	110	40	Imm	40	110	40	110	0	0
54	Greater Vampire	Vampire (monster) C	40	211	228	1646	15%20D8+L3Cloak	1	N	Short	Suicidal	2	260	60	c	DrainSPx4	Phys	40D40+15	0	0	0	0	0	40	"Spirit Lash,M,11"	0	"Heroism,M,7"	125	125	125	55	Imm	55	125	55	125	0	0
55	Dark Path Journeyman	Necromancer (monster) A	36	295	156	1808	15%20D8+L3Ring	1	N	Med	Aggress	3	200	90	0	Afraidx4	Dark	38D38+9	Dark	0	0	0	0	36	"Toxic Cloud,E,3"	0	0	60	130	130	130	130	60	130	60	Imm	0	0
56	Necromancer	Necromancer (monster) B	46	336	171	2531	15%20D8+L3Wand	1	N	Med	Aggress	3	220	80	0	Afraidx5	Dark	43D43+8	Dark	0	0	0	0	46	"Lightning Bolt,E,19"	0	0	75	145	145	145	145	75	145	75	Imm	0	0
57	Master Necromancer	Necromancer (monster) C	60	383	186	3543	15%20D8+L5Boots	1	N	Short	Aggress	3	240	70	0	Afraidx6	Dark	49D49+22	Dark	0	0	0	0	60	"Fireball,M,21"	0	"Pain Reflection,M,10"	90	160	160	160	160	90	160	90	Imm	0	0
58	Troll Clubman	Troll A	23	152	192	777	6D6	1	N	Med	Aggress	2	200	90	m	0	Phys	30D30+28	0	0	0	0	0	23	0	0	0	95	25	95	95	95	25	95	25	25	0	0
59	Troll Warrior	Troll B	29	173	207	1087	5%6D6+L2Club	1	N	Med	Aggress	2	220	80	m	0	Phys	34D34+15	0	0	0	0	0	29	0	0	0	110	40	110	110	110	40	110	40	40	0	0
60	Troll Chieftain	Troll C	38	197	222	1521	15%6D6+L3Club	1	N	Med	Suicidal	2	260	70	m	0	Phys	39D39+13	0	0	0	0	0	38	0	0	0	125	55	125	125	125	55	125	55	55	0	0
61	Troll Peasant	Troll Pesant A	5	22	0	80	1	1	N	Long	Wimp	4	140	100	0	0	Phys	14D14+5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62	Troll Peasant	Troll Pesant B	6	25	0	112	1	1	N	Long	Wimp	4	140	100	0	0	Phys	15D16+2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
63	Troll Peasant	Troll Pesant C	8	28	0	156	1	1	N	Long	Wimp	4	140	100	0	0	Phys	17D19	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
64	Minotaur Guard	Minotaur A	48	499	208	2984	25%20D5+L3Axe	1	N	Long	Normal	2	250	80	0	0	Phys	44D44+2	0	0	0	0	0	48	"Bless,M,5"	0	0	130	130	60	130	130	130	130	60	60	0	0
65	Minotaur Warrior	Minotaur B	62	568	223	4177	25%20D5+L4Axe	1	N	Med	Aggress	2	260	70	0	0	Phys	50D50+3	0	0	0	0	0	62	"Heroism,M,7"	0	0	145	145	75	145	145	145	145	75	75	0	0
66	Minotaur Battleleader	Minotaur C	81	648	238	5847	25%20D5+L5Axe	1	N	Short	Suicidal	2	300	60	0	0	Phys	57D57+22	0	0	0	0	0	81	"Heroism,M,10"	0	0	160	160	90	160	160	160	160	90	90	0	0
67	Minotaur Peasant	Minotaur Pesant A	2	9	0	33	2D6	1	N	Short	Wimp	4	220	100	0	0	Phys	8D10	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68	Minotaur Peasant	Minotaur Pesant B	2	10	0	46	3D6	1	N	Short	Wimp	4	250	90	0	0	Phys	8D10	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69	Minotaur Peasant	Minotaur Pesant C	3	11	0	64	4D6	1	N	Short	Wimp	4	280	80	0	0	Phys	11D11	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70	Dragon	Dragon A	85	963	226	9403	250D10+L6	1	Y	Long	Suicidal	4	240	70	0	DrainSPx2	Fire	58D59+10	Fire	0	0	0	0	85	"Fire Bolt,E,65"	0	0	165	130	130	165	165	165	165	130	130	0	0
71	Dragon Flightleader	Dragon B	110	1097	241	13164	300D10+L6	1	Y	Med	Suicidal	4	260	65	0	DrainSPx4	Fire	66D67+20	Fire	0	0	0	0	110	"IceBolt,E,60"	0	0	180	145	145	180	180	180	180	145	145	0	0
72	Great Wyrm	Dragon C	143	1251	256	18429	400D10+L6	1	Y	Short	Suicidal	4	300	60	0	DrainSPx6	Fire	75D77	Fire	0	0	0	0	143	"Dispel Magic,E,4"	0	"Lightning Bolt,M,29"	195	160	160	195	195	195	195	160	160	0	0
73	Lesser Fire Elemental	Fire Elemental A	61	580	212	4357	15%10D30+L4	0	Y	Long	Aggress	3	300	70	0	0	Phys	49D50+13	0	0	0	0	0	61	"Fireball,M,20"	0	0	Imm	165	95	165	165	95	95	95	95	0	0
74	Fire Elemental	Fire Elemental B	79	661	227	6099	15%10D40+L5	0	Y	Med	Aggress	3	310	70	0	0	Phys	56D56+54	0	0	0	0	0	79	"Haste,M,9"	0	0	Imm	180	110	180	180	110	110	110	110	0	0
75	Greater Fire Elemental	Fire Elemental C	103	754	242	8538	15%10D40+L6	0	Y	Med	Aggress	3	330	70	2	0	Phys	64D64+63	0	0	0	0	0	103	"Incinerate,GM,67"	0	0	Imm	195	125	195	195	125	125	125	125	0	0
76	Lesser Water Elemental	Water Elemental A	61	580	212	4357	10%10D30+L4	0	Y	Short	Aggress	3	250	30	0	0	Phys	49D50+13	0	0	0	0	0	61	"IceBolt,E,28"	0	0	95	165	Imm	165	165	95	95	95	95	0	0
77	Water Elemental	Water Elemental B	79	661	227	6099	10%10D40+L5	0	Y	Short	Aggress	3	270	30	0	0	Phys	56D56+54	0	0	0	0	0	79	"Acid Burst,M,42"	0	0	110	180	Imm	180	180	110	110	110	110	0	0
78	Greater Water Elemental	Water Elemental C	103	754	242	8538	10%10D40+L6	0	Y	Short	Aggress	3	290	30	2	0	Phys	64D64+63	0	0	0	0	0	103	"IceBlast,GM,65"	0	0	125	195	Imm	195	195	125	125	125	125	0	0
79	Lesser Earth Elemental	Earth Elemental A	61	580	217	4357	20%10D30+L4Ore	0	N	Long	Aggress	3	110	70	0	0	Phys	49D50+13	0	0	0	0	0	61	"Blades,M,49"	0	0	165	95	165	Imm	165	95	95	95	95	0	0
80	Earth Elemental	Earth Elemental B	79	661	232	6099	20%10D40+L5Ore	0	N	Long	Aggress	3	130	70	0	0	Phys	56D56+54	0	0	0	0	0	79	0	0	0	180	110	180	Imm	180	110	110	110	110	0	0
81	Greater Earth Elemental	Earth Elemental C	103	754	247	8538	15%10D40+L6Ore	0	N	Med	Aggress	3	200	70	2	0	Phys	64D64+63	0	0	0	0	0	103	0	0	0	195	125	195	Imm	195	125	125	125	125	0	0
82	Lesser Air Elemental	Air Elemental A	61	580	212	4357	10%10D30+L4	0	Y	Long	Aggress	3	300	70	0	0	Phys	49D50+13	0	0	0	0	0	61	"Sparks,M,30"	0	0	165	Imm	165	95	165	95	95	95	95	0	0
83	Air Elemental	Air Elemental B	79	661	227	6099	10%10D40+L5	0	Y	Long	Aggress	3	300	70	0	0	Phys	56D56+54	0	0	0	0	0	79	"Lightning Bolt,M,23"	0	0	180	Imm	180	110	180	110	110	110	110	0	0
84	Greater Air Elemental	Air Elemental C	103	754	242	8538	10%10D40+L6	0	Y	Med	Aggress	3	310	70	2	0	Phys	64D64+63	0	0	0	0	0	103	0	0	0	195	Imm	195	125	195	125	125	125	125	0	0
85	Dire Wolf Yearling	Dire Wolf A	11	57	93	242	15%L1Ring	1	N	Long	Suicidal	2	275	100	0	0	Phys	21D21+3	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86	Dire Wolf	Dire Wolf B	14	64	108	338	20%L1Ring	1	N	Med	Suicidal	2	295	90	0	0	Phys	23D24+13	0	0	0	0	0	14	0	0	0	10	10	10	10	10	10	10	10	10	0	0
87	Pack Leader	Dire Wolf C	18	74	123	473	25%L2Ring	1	N	Med	Suicidal	2	315	80	0	Cursex4	Phys	26D27+24	0	0	0	0	0	18	0	0	0	20	20	20	20	20	20	20	20	20	0	0
88	Young Basilisk	Thunder Lizard A	23	154	155	785	5D5	1	N	Long	Normal	2	220	100	0	Paralyze	Phys	30D30+28	0	0	0	0	0	23	0	0	0	95	25	95	95	95	95	95	25	25	0	0
89	Basilisk	Thunder Lizard B	29	175	170	1099	7D5	1	N	Med	Normal	2	240	90	0	Stone	Phys	34D34+15	0	0	0	0	0	29	0	0	0	110	40	110	110	110	110	110	40	40	0	0
90	Elder Basilisk	Thunder Lizard C	38	200	185	1538	10D5	1	N	Med	Aggress	2	260	80	0	Stonex2	Phys	39D39+13	0	0	0	0	0	38	0	0	0	125	55	125	125	125	125	125	55	55	0	0
91	Cyclops	Cyclops A	29	223	197	1205	15D10	1	N	Long	Normal	2	270	110	t	Paralyze	Phys	34D34+15	0	0	0	0	0	29	0	0	0	97	97	27	97	97	27	27	27	27	0	0
92	Cyclops Hunter	Cyclops B	37	254	212	1687	20D10	1	N	Med	Aggress	2	280	80	t	Paralyzex2	Phys	38D39+12	0	0	0	0	0	37	0	0	0	110	110	57	110	110	40	40	40	40	0	0
93	Cyclops Warrior	Cyclops C	49	289	227	2361	25D10	1	N	Short	Aggress	2	300	65	t	Paralyzex3	Phys	44D44+42	0	0	0	0	0	49	0	0	0	123	123	88	123	123	53	53	53	53	0	0
94	Serpentman	Serpentmen A	6	26	30	97	5d5	1	N	Med	Aggress	2	220	100	0	Poison3	Phys	15D16+2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
95	Serpentman Elder	Serpentmen B	7	29	45	135	10%5d5+L1Ring	1	N	Med	Aggress	2	250	90	0	Poison3x2	Phys	16D17+10	0	0	0	0	0	7	0	0	0	10	10	10	10	10	10	10	10	10	0	0
96	Serpentman Warrior	Serpentmen C	10	33	60	189	10%5d5+L2Ring	1	N	Short	Suicidal	2	280	80	0	Poison3x3	Phys	20D20+3	0	0	0	0	0	10	0	0	0	20	20	20	20	20	20	20	20	20	0	0
97	Dancing Light	Will ' O Wisp A	20	85	106	498	25%10D15+L2Gem	0	Y	Free	Normal	4	240	80	0	0	Light	28D28+23	Light	0	0	0	0	20	0	0	0	19	19	19	19	19	19	19	Imm	19	0	0
98	Wisp 	Will ' O Wisp B	26	96	121	697	25%10D15+L3Gem	0	Y	Free	Normal	4	260	80	0	0	Light	32D32+26	Light	0	0	0	0	26	0	0	0	34	34	34	34	34	34	34	Imm	34	0	0
99	Will O' Wisp	Will ' O Wisp C	33	110	136	975	25%10D15+L4Gem	0	Y	Free	Normal	4	280	80	0	0	Light	36D37	Light	0	0	0	0	33	0	0	0	49	49	49	49	49	49	49	Imm	49	0	0
100	Centaur	Centaur A	11	58	97	245	35%5d6+L1Bow	1	N	Med	Aggress	3	275	100	x	0	Phys	21D21+3	ArrowF	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101	Centaur Warrior	Centaur B	14	66	112	343	25%5d8+L2Bow	1	N	Med	Aggress	3	285	90	x	0	Phys	23D24+13	ArrowF	0	0	0	0	14	"Shield,E,4"	0	0	10	10	10	10	10	10	10	10	10	0	0
102	Centaur Warlord	Centaur C	18	75	127	480	35%5d10+L3Bow	1	N	Short	Aggress	3	295	90	x	0	Phys	26D27+24	ArrowF	0	0	0	0	18	"Shield,M,7"	0	0	20	20	20	20	20	20	20	20	20	0	0
103	Efreeti Soldier	Efreeti A	53	457	212	3784	50%10D20+L4Sword	0	N	Med	Suicidal	2	300	70	0	DrainSPx4	Phys	46D46+24	0	0	0	0	0	53	"Fireball,M,15"	0	0	Imm	130	60	130	130	60	60	60	130	0	0
104	Efreeti Knight	Efreeti B	68	520	227	5297	50%10D20+L4Sword	0	N	Med	Suicidal	2	310	70	0	DrainSPx5	Phys	52D52+42	0	0	0	0	0	68	"Fireball,M,21"	0	0	Imm	145	75	145	145	75	75	75	145	0	0
105	Efreeti Lord	Efreeti C	89	594	242	7415	50%10D20+L5Sword	0	N	Med	Suicidal	2	330	70	2	DrainSPx6	Phys	59D60+54	0	0	0	0	0	89	"Fireball,M,25"	0	"Day of Protection,M,4"	Imm	160	90	160	160	90	90	90	160	0	0
106	Ogre Mage Apprentice	Ogre Mage A	22	147	183	742	25%10D4+L2Scroll	1	N	Med	Suicidal	3	200	100	0	Cursex4	Phys	29D30+18	0	30	Fire	29D30+18	Fire	22	"Fire Bolt,E,18"	0	0	95	95	25	95	95	25	95	25	25	0	0
107	Ogre Mage 	Ogre Mage B	28	167	198	1038	30%10D6+L3Scroll	1	N	Med	Suicidal	3	220	90	0	Cursex6	Phys	33D34+8	0	30	Water	33D34+8	Water	28	"Poison Spray,E,28"	0	0	40	110	110	110	110	40	110	40	40	0	0
108	Ogre Magi	Ogre Mage C	37	191	213	1453	35%10D10+L7Scroll	1	N	Short	Suicidal	3	240	80	0	Cursex8	Phys	38D39+12	0	30	Air	38D39+12	Air	37	"Lightning Bolt,M,16"	0	0	125	125	125	55	125	55	125	55	55	0	0
109	Unicorn Foal	Unicorn A	28	211	194	1129	45%20D5+L1Ring	1	N	Med	Aggress	3	140	70	0	0	Water	33D34+8	Water	0	0	0	0	28	0	0	0	27	97	132	97	97	Imm	97	97	27	0	0
110	Unicorn	Unicorn B	36	240	209	1580	45%20D5+L2Amulet	1	N	Med	Aggress	3	160	60	0	0	Fire	38D38+9	Fire	0	0	0	0	36	0	0	0	162	110	40	110	110	Imm	110	110	40	0	0
111	Unicorn Herd Leader	Unicorn C	47	274	224	2212	45%20D5+L3Gem	1	N	Short	Aggress	3	180	50	0	0	Air	43D44+6	Air	0	0	0	0	47	0	0	0	123	193	123	53	123	Imm	123	123	53	0	"shot,x3"
112	Emerald Dragon	Crystal Dragon A	82	956	231	10550	250D10+L6	0	N	Long	Aggress	4	240	70	2	0	Phys	57D58+5	Ener	50	Phys	57D58+5	Ener	82	"Acid Burst,M,27"	0	0	165	95	165	165	165	95	165	165	165	0	0
113	Sapphire Dragon	Crystal Dragon B	106	1089	246	14769	300D10+L6	0	N	Med	Aggress	4	260	65	2	0	Phys	65D65+55	Ener	50	Phys	65D65+55	Ener	106	"Dispel Magic,E,4"	0	"Acid Burst,M,38"	180	110	180	180	180	110	180	180	180	0	0
