	Archer	BattleMage	MasterArcher	Sniper	Cleric	ClericLight	ClericDark	HighPriest	PriestLight	PriestDark	Deerslayer	Pathfinder	PathfinderLight	PathfinderDark	Dragon	GreatWirm	DragonLight2	DragonDark2	Druid	MasterDruid	ArchDruid	Warlock	Knight	Champion	Templar	BlackKnight	Minotaur	MinotaurLord	MinotaurLight2	MinotaurDark2	Monk	Monk2	MasterMonk	Ninja	Paladin	Paladin2	Hero	Villain	Ranger	Ranger2	RangerLord	BountyHunter	Thief	Robber	Spy	Assassin	Barbarian	Warmonger	BarbarianLight2	BarbarianDark2	Vampire	Nosferatu	NosferatuLight	NosferatuDark	Sorcerer	Mage	Necromancer	MasterWizard	ArchMage	Lich	Peasant
Chain	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	C	C	C	C	C	C	C	C	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Plate	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Fire	C	C	C	C	-	-	-	-	-	-	C	C	C	C	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	F	C	C	C	C	C	-
Air	F	F	F	F	-	-	-	-	-	-	F	F	F	F	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	C	C	C	C	C	C	-
Water	C	C	C	C	-	-	-	-	-	-	C	C	C	C	-	-	-	-	C	C	C	C	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	C	C	C	C	C	C	-
Earth	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	F	F	F	F	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	C	-	-	-	-	-	-
Spirit	-	-	-	-	C	C	C	C	C	C	-	-	-	-	-	-	-	-	C	C	C	C	-	-	-	-	F	F	F	F	-	-	-	-	F	F	F	F	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Mind	-	-	-	-	C	C	C	C	C	C	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	F	F	F	F	-	-	-	-	-	-	-
Body	-	-	-	-	F	C	C	C	F	F	-	-	-	-	-	-	-	-	C	C	C	C	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Light	-	-	-	-	-	F	-	F	F	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	F	-	F	F	-	-
Dark	-	-	-	-	-	-	F	F	-	F	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	F	F	-	F	-
DarkElfAbility	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VampireAbility	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DragonAbility	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IdentifyItem	-	-	-	-	-	-	-	-	-	-	C	C	C	C	F	F	F	F	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	C	C	C	C	-	-	-	-	C	C	C	C	C	C	-	-	C	-	-
Merchant	-	-	-	-	C	C	C	C	C	C	C	C	C	C	C	C	C	C	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	C	C	C	C	-	-	-	-	C	C	C	C	-	-	-	-	-	-	-	-	C	C	-	-	C	-	-
Repair	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	C	C	C	C	-	-	-	-	-	-	-	-	C	C	C	C	-	-	-	-	-	-	-	-	C	C	C	C	-	-	-	-	-	-	-	-	-	-	-
Bodybuilding	-	-	-	-	-	-	-	-	-	-	-	-	-	-	F	F	F	F	-	-	-	-	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	-	-	-	-	F	F	F	F	-	-	-	-	-	-	-	-	-	-	-
Meditation	-	-	-	-	C	C	C	C	C	C	-	-	-	-	C	C	C	C	C	C	C	C	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	C	-	-	C	-
Perception	C	C	C	C	C	-	-	-	-	-	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	-	-	-	-	F	F	F	F	C	C	C	C	-	-	-	-	C	C	C	C	-	-	-	C	-	-	F
Regeneration	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DisarmTraps	-	-	-	-	-	-	-	-	-	-	C	C	C	C	-	-	-	-	-	-	-	-	-	-	-	-	C	C	C	C	-	-	-	-	-	-	-	-	C	C	C	C	C	C	C	C	-	-	-	-	C	C	C	C	-	-	-	-	-	-	-
Dodging	-	-	-	-	-	-	-	-	-	-	-	-	-	-	C	C	C	C	-	-	-	-	-	-	-	-	-	-	-	-	F	F	F	F	-	-	-	-	C	C	C	C	C	C	C	C	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Unarmed	-	-	-	-	-	-	-	-	-	-	-	-	-	-	C	C	C	C	-	-	-	-	-	-	-	-	-	-	-	-	F	F	F	F	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IdentifyMonster	-	-	-	-	-	-	-	-	-	-	-	-	-	-	C	C	C	C	-	-	-	-	-	-	-	-	-	-	-	-	C	C	C	C	-	-	-	-	C	C	C	C	-	-	-	-	C	C	C	C	C	C	C	C	C	C	C	-	C	C	-
Armsmaster	C	C	C	C	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	F	F	F	F	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	-	-	-	-	C	C	C	C	-	-	-	-	-	-	-	-	-	-	-
Stealing	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	F	F	F	F	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Alchemy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	C	C	C	C	C	C	C	C	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	C	C	C	C	-	-	-	-	C	C	C	C	C	C	C	C	C	C	-
Learning	C	C	C	C	C	C	C	C	C	C	-	-	-	-	C	C	C	C	C	C	C	C	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	C	C	-	C	C
